Year,Generation_kWh,Tariff_BDT_kWh,Revenue_BDT,Debt_Service,O_M,Net_Cash_Flow,Cumulative_CF
1,70080,8.50,476544,205071,23400,248073,248073
2,70080,9.18,513335,205071,23400,284864,532937
3,70080,9.91,554642,205071,23400,326171,859108
4,70080,10.71,599615,205071,23400,371144,1230252
5,70080,11.56,648184,205071,23400,419713,1649965
6,70080,12.49,699563,205071,23400,471092,2121057
7,70080,13.49,753928,205071,23400,525457,2646514
8,70080,14.57,811842,205071,23400,583371,3229885
9,70080,15.74,873790,205071,23400,645319,3875204
10,70080,17.00,939693,205071,23400,711222,4586426
11,70080,18.36,1009868,205071,23400,781397,5367823
12,70080,19.83,1084657,205071,23400,856186,6224009
13,70080,21.42,1164260,205071,23400,935789,7159798
14,70080,23.13,1249401,205071,23400,1020930,8180728
15,70080,24.98,1340953,205071,23400,1112482,9293210
16,70080,26.98,1450429,0,23400,1427029,10720239
17,70080,29.14,1568463,0,23400,1545063,12265302
18,70080,31.47,1696940,0,23400,1673540,13938842
19,70080,33.99,1835395,0,23400,1811995,15750837
20,70080,36.71,1985627,0,23400,1962227,17713064
